player_id,name,position_group_raw,age_at_valuation,current_club_id,minutes_last_season,target_market_value,predicted_value,undervalued_pct,undervalued_pct_formatted
723621,Denys Kuzyk,Midfielder,23.509924709103355,63007,3182.0,1800000,11447288.0,5.359604444444445,536.0%
607164,Enzo Cornelisse,Midfielder,21.92197125256673,499,1826.0,375000,2318112.5,5.181633333333333,518.2%
865281,Jochem Ritmeester van de Kamp,Midfielder,22.354551676933607,1434,2469.0,1300000,7987448.5,5.144191153846154,514.4%
1030739,Mohammadjavad Hosseinnejad,Midfielder,22.746064339493497,75231,2422.0,1500000,8759154.0,4.839436,483.9%
794617,Yan Kostenko,Midfielder,22.458590006844627,85465,1714.0,700000,4085624.0,4.836605714285715,483.7%
892053,Denys Nagnoynyi,Midfielder,24.13141683778234,87883,1058.0,300000,1727753.8,4.759179166666667,475.9%
951293,Amir Batyrev,Midfielder,22.261464750171115,41231,1000.0,275000,1485289.0,4.401050909090909,440.1%
536480,Lucas Bernadou,Midfielder,22.74332648870637,60949,1984.0,750000,3990877.8,4.321170333333333,432.1%
926389,Noé Lebreton,Midfielder,21.883641341546884,467,1006.0,2000000,10021707.0,4.0108535,401.1%
620722,Dejan Popara,Midfielder,22.77618069815195,10690,2195.0,700000,3495779.2,3.993970357142857,399.4%
815007,Mattheos Mountes,Midfielder,22.299794661190965,3060,1628.0,500000,2474265.8,3.9485315,394.9%
801420,Killian Phillips,Midfielder,23.698836413415467,465,2909.0,1000000,4867138.5,3.8671385,386.7%
667506,Cameron Congreve,Midfielder,21.87816563997262,511,1019.0,450000,2159622.5,3.799161111111111,379.9%
674809,Josh Mulligan,Midfielder,23.310061601642712,903,2906.0,1500000,7198044.0,3.798696,379.9%
487924,Jan Zamburek,Midfielder,24.79945242984257,1304,1884.0,500000,2298660.8,3.5973215,359.7%
422763,Nicolas Raskin,Midfielder,24.79397672826831,124,4029.0,12000000,54860644.0,3.5717203333333334,357.2%
658060,Nika Gagnidze,Midfielder,24.747433264887064,48332,2018.0,900000,4102557.5,3.558397222222222,355.8%
812755,Denys Pidgurskyi,Midfielder,22.562628336755647,48726,1397.0,500000,2260491.0,3.520982,352.1%
811841,İzzet Çelik,Midfielder,21.492128678987,11282,1348.0,300000,1311137.9,3.370459583333333,337.0%
765468,Milan de Haan,Midfielder,20.52840520191649,724,2271.0,450000,1953644.2,3.341431666666667,334.1%
358025,Brandon Baiye,Midfielder,23.43600273785079,1245,2079.0,700000,3027212.0,3.3245885714285714,332.5%
896234,Guillermo Balzi,Midfielder,24.618754277891856,2672,1516.0,800000,3392367.2,3.2404590625,324.0%
432852,Deroy Duarte,Midfielder,24.908966461327857,385,2592.0,1000000,4236494.0,3.236494,323.6%
726019,Oleksandr Yatsyk,Midfielder,22.95687885010267,338,1392.0,1000000,4158826.0,3.158826,315.9%
578544,Noah Naujoks,Midfielder,23.85763175906913,798,1658.0,1000000,4089062.0,3.089062,308.9%
685854,Ruslan Bezrukov,Midfielder,23.73990417522245,2698,1646.0,1000000,4054080.8,3.05408075,305.4%
